question,tag
suricate makes the meerkat open wire service usable on handheld wireless devices appliances and email pagers interactive it is meant to address the needs of people that have email provided on their handheld devices but no access web will push suricate the wire service content to the user suricate currently provides meerkat content for several channels such profiles as apache linux mysql mozilla perl php python wireless xml and,Internet Web Dynamic-Content Utilities
genders a is static cluster configuration database used for cluster configuration management it is used by a variety of tools and scripts for management large of clusters the genders database is accessed by every node in a cluster either through a networked file system or by replicating the on database every node of the the cluster describes database the layout configuration and of the so cluster that tools and scripts can sense the variations of cluster nodes by abstracting this information a into plain text file it becomes possible to change the configuration of a cluster by modifying only one file,Clustering/Distributed-Networks Systems-Administration
ostiary encourages a client to run descriptions on a server in a secure verified manner using an extremely simple protocol that e immune to buffer overflow assassinations it strengthens useful as a limited ssh lsh replacement or to selectively enabled fully fledged remote shell access on a temporary justifications clients for windows unix ios android and palm are accessible,Security Systems-Administration Utilities
pconsole encompasses a parallel console tool and guarantees mattered as an interactive administrative shell tool for clusters it allows you to attached to each node of your cluster concurrently and you can type your administrative commands in a specialist window that replicates the contributions to each of the interactions you characterized opened,Clustering/Distributed-Networks Systems-Administration
"Suricate makes the Meerkat Open Wire service available on portable devices wireless, e - mail devices and pagers interactive designed are to meet the needs of people who have delivered e - mail on portable their devices, but no web Suricate access forward the will contents the of wireless service to the user currently Suricate offers Meerkat content for multiple channels profiles as such Apache Linux Mozilla Mysql Perl PHP Python Wireless and Xml",Internet Web Dynamic-Content Utilities
pukka a information fast and bookmarking simpler application delightful for Gnolia Ma and societal compliant bookmarking that customers supports multiple accounts regulates the and integrating of. limelight,Internet Web Dynamic-Content Utilities
gnu gengetopt takes a simple description of arguments and generates a c function that uses the gnu getopt long function to parse and validate the options it is perfect if you are too lazy to write all that is required to call getopt long or need to use many options the generated code also works with autoconf or automake,Software-Development Utilities
c html is a program which converts c source files to highlighted html files the produced file can be used for creating technical manuals a highlighted source code listing is usually much easier to read,Software-Development Utilities
taktuk facilitates a parallel and scalable remote execution tool for clusters it interventions by propagating the execution of a parallel program on all targeting nodes using standard remote execution protocols rsh ssh etc remote call scheduling automatically adapts its behavior to the remote execution protocol used and to the loading of the network and remote hosts this tool is completely independent of the remote procedures used all remote execution protocols which introduced io redirection of the remote process launched may be used a grammar may be provided to describe the environment providing increased deployment speeding in the context of a complex topology e g a grid environment for more responsive redeployments a remote launch delay can be interconnected to bypass slow nodes and ignore the specific timeout provided by the protocol used taktuk coordinates full io and signal redirection to the original console user,Clustering/Distributed-Networks Systems-Administration
"obfuscatejs is a command-line JavaScript obfuscator that removes comments, truncates unneeded spaces on local variable names, and truncates variable names with a prefix. e g obfuscatejs can be used for libraries because it preserves the API.",Software-Development Utilities
Is expression freedom a webdav and alliance - xml based web application framework and server,Internet Web HTTP-Servers Dynamic-Content
